id,name
10558,J
102858,J
4160,H
1233,P
3982,X
14061,J
8255,W
201,M
47,B
58512,S
71403,R
8447,J
3926,A
531,D
8215,B
1297,R
3968,M
17484,D
74336,T
910326,N
928508,A
21411,I
1847408,J
935594,T
240728,C
70261,N
70243,E
7173,C
2753,B
7632,S
100318,J
13717,B
73931,B
142439,E
109404,V
863,O
19803,L
1084298,A
399681,D
1371523,J
1893064,E
1436413,C
74329,J
1389073,J
1389074,L
82793,M
7071,L
8534,K
7004,P
6197,B
2744,C
3131,A
98357,P
123255,P
123257,P
1038488,B
1038546,E
123258,P
98316,L
12208,O
92706,S
1289878,A
1538771,D
115679,C
104795,B
1361519,R
1361520,M
135420,D
71580,B
1836,J
7060,M
11180,D
216425,B
146459,S
11616,O
8227,A
5482,R
99809,T
89251,M
6677,K
81249,G
81248,A
12931,R
8536,V
931162,J
94098,G
11665,M
7796,I
2171,G
18293,K
156774,V
25072,O
13611,J
1429,C
53396,R
1229795,K
707,D
7171,J
11998,E
9626,R
504,T
4029,B
73030,R
204962,M
103939,C
73036,H
1176349,B
1668794,M
1474935,J
549617,M
219176,P
1003231,G
14450,G
72059,F
3391,K
31234,G
13577,M
1421958,A
20548,R
85637,B
1114225,K
1114226,M
116152,D
116153,N
264374,N
111946,B
1214377,F
2035979,L
88339,K
54728,B
1488952,M
1314108,F
61441,R
110564,M
110068,R
723,P
198886,P
34901,J
47985,E
47987,G
18266,P
69751,C
1320609,P
128741,D
2515901,P
83966,P
72590,A
1232640,A
68750,R
65020,V
2975,L
9788,R
11389,J
3122,S
937809,H
27084,N
1184600,T
56861,T
1376364,M
90389,P
216674,H
18999,J
16376,L
58098,H
2699644,C
2699645,B
101378,D
19968,R
928545,R
1645418,P
568555,s
1170013,J
928362,S
567335,C
543599,B
151043,R
105656,C
119154,D
61903,G
1201951,D
129849,F
238330,B
1202307,H
89888,A
1167703,R
90027,J
65605,M
238367,T
77763,M
222912,C
997887,R
160039,E
568589,J
491896,B
16620,H
1170011,L
1170010,C
90031,K
25442,J
1542852,S
1542849,M
1542853,K
974169,J
1098962,D
1713725,O
3026,R
36662,C
17477,H
71450,R
41043,T
89670,S
78057,O
13954,W
14101,J
18794,K
8874,E
31138,V
1212706,K
1575256,T
92861,T
155783,S
97779,D
87461,D
1031249,J
1564691,S
469759,A
34070,N
168877,F
1363140,G
1228056,R
10912,E
1247,M
239019,K
22970,P
147424,J
3061,E
1125,E
9012,J
28256,E
25780,P
10409,S
7077,S
33741,R
70985,G
33181,J
63611,N
53574,E
5657,A
97698,M
103968,L
44615,R
31140,M
1878335,A
4794,M
20472,N
20309,D
111714,A
165867,K
124240,D
64928,A
51377,D
24685,J
120617,V
69395,B
1951261,A
19185,M
74353,M
3900,L
9825,S
149994,D
145115,R
577640,S
231674,H
1216701,M
2044739,K
1855591,P
51359,L
15532,R
1610514,T
6541,P
41689,R
43120,A
388569,M
56004,A
2987,S
1153843,J
1220206,S
155209,M
1246000,S
1280183,C
38129,R
13401,P
1059008,T
2300297,B
150905,G
234815,F
51764,K
30495,V
85412,O
62714,B
84532,J
84530,R
216728,A
238864,R
950346,L
1091984,T
1547461,L
1797610,A
1797611,V
84698,J
21736,J
97878,R
2430607,J
236695,J
6718,J
123516,C
1228033,A
6586,B
1796092,M
1955081,J
1674611,C
1169805,R
11789,F
4784,L
118602,C
46280,A
107618,P
2381755,T
28767,J
1504297,M
2681602,W
22868,R
83461,D
17580,J
4420,A
19534,G
1448504,J
1448505,A
21986,R
96091,C
227020,R
1409959,E
998387,E
1886963,J
57970,A
81287,S
3267,G
1521488,H
113818,J
18364,G
40,O
121217,F
109969,D
16421,H
37446,V
2771,J
19401,G
94765,D
132575,T
2638,C
2639,E
81667,J
136930,C
15761,G
154106,G
57637,J
69230,L
129053,D
150810,J
167662,R
130565,N
52775,K
963818,T
225863,Z
43125,R
1893,C
1671524,M
6905,B
1904,A
127712,M
3035,J
527313,T
77019,S
190315,J
5727,D
1215086,C
19540,P
21731,M
228856,K
237588,T
930633,F
2106,W
146136,B
35521,M
59287,G
65531,E
110675,J
592816,B
43458,B
104646,B
63681,J
68166,I
78691,C
78693,C
2030076,S
1675772,R
1692795,M
1733204,D
81178,C
188024,V
67600,A
25663,T
1936,M
5247,J
59219,K
1137,J
2528280,Y
82420,K
1276017,B
2406,M
1925,V
37628,J
77003,G
199449,G
223,A
2232,M
12438,B
5655,W
1479685,R
62417,R
1337,T
67222,C
68561,E
940339,L
26727,D
113794,W
1161994,S
312,J
58225,Z
20603,H
1242932,A
54470,L
41819,S
1518,F
1331,H
207922,N
166754,A
76070,M
118,G
53519,L
26456,L
134328,A
557911,R
2347807,B
1670479,A
1625013,M
84384,O
1322032,J
1322033,B
1152,O
5293,W
35824,A
235984,J
76495,S
76496,J
19302,J
2536,M
15033,J
1205143,J
1205144,D
22159,M
79357,J
87096,G
40956,F
93967,M
116484,J
2265,A
21596,S
8658,E
1954,B
9869,K
3349,J
143526,J
143527,L
1472703,J
1579769,M
1635468,T
15735,H
54014,D
7504,C
1796547,D
1092868,N
1092869,J
1092870,D
76339,C
5077,V
11669,J
53926,J
2037,C
6949,J
