ST,Timestamp,Confirmed
TX,2020-03-16 23:53:03,85
TX,2020-03-17 20:13:22,110
TX,2020-03-18 19:53:03,173
TX,2020-03-19 21:13:35,260
TX,2020-03-20 23:43:03,394
TX,2020-03-21 23:13:17,581
TX,2020-03-22 23:45:00,565
TX,2020-03-23 23:19:34,592
TX,2020-03-24 23:37:31,831
UT,2020-03-10 16:53:13,2
UT,2020-03-11 20:00:00,9
UT,2020-03-11 23:13:06,3
UT,2020-03-12 23:44:33,5
UT,2020-03-14 18:53:03,10
UT,2020-03-15 18:20:19,28
UT,2020-03-16 22:33:03,39
UT,2020-03-17 20:53:02,51
UT,2020-03-19 23:43:04,80
UT,2020-03-20 16:13:23,78
UT,2020-03-21 23:13:17,136
UT,2020-03-22 23:45:00,162
UT,2020-03-23 23:19:34,246
UT,2020-03-24 23:37:31,285
VT,2020-03-10 03:13:17,1
VT,2020-03-11 20:00:00,2
VT,2020-03-12 01:53:03,2
VT,2020-03-14 22:33:04,13
VT,2020-03-16 17:13:23,12
VT,2020-03-18 19:33:03,18
VT,2020-03-19 21:43:03,22
VT,2020-03-20 21:43:03,29
VT,2020-03-22 23:45:00,44
VT,2020-03-23 23:19:34,65
VT,2020-03-24 23:37:31,83
VA,2020-03-10 03:53:03,7
VA,2020-03-11 03:33:05,9
VA,2020-03-11 20:00:00,30
VA,2020-03-12 21:39:10,17
VA,2020-03-14 22:33:03,41
VA,2020-03-15 18:20:19,45
VA,2020-03-16 22:13:21,49
VA,2020-03-17 20:13:22,67
VA,2020-03-18 19:53:03,77
VA,2020-03-19 23:43:04,99
VA,2020-03-20 23:43:03,122
VA,2020-03-21 19:43:03,156
VA,2020-03-22 23:45:00,168
VA,2020-03-23 23:19:34,173
VA,2020-03-24 23:37:31,237
WA,2020-01-22 17:00:00,1
WA,2020-01-23 17:00:00,1
WA,2020-01-24 17:00:00,1
WA,2020-01-25 17:00:00,1
WA,2020-01-26 16:00:00,1
WA,2020-01-27 23:59:00,1
WA,2020-01-28 23:00:00,1
WA,2020-01-29 19:30:00,1
WA,2020-01-30 16:00:00,1
WA,2020-01-31 23:59:00,1
WA,2020-03-10 22:13:11,267
WA,2020-03-11 20:00:00,568
WA,2020-03-11 22:33:03,366
WA,2020-03-12 23:44:33,442
WA,2020-03-14 22:13:19,572
WA,2020-03-15 02:13:21,643
WA,2020-03-16 23:53:03,904
WA,2020-03-17 23:33:03,1076
WA,2020-03-18 14:13:56,1014
WA,2020-03-19 23:43:04,1376
WA,2020-03-20 23:43:03,1524
WA,2020-03-21 22:43:04,1793
WA,2020-03-22 23:45:00,1957
WA,2020-03-23 23:19:34,2197
WA,2020-03-24 23:37:31,2284
WV,2020-03-10 02:33:04,0
WV,2020-03-11 20:00:00,0
WV,2020-03-17 23:33:02,1
WV,2020-03-19 02:33:09,2
WV,2020-03-20 19:43:03,7
WV,2020-03-21 02:43:03,8
WV,2020-03-22 23:45:00,6
WV,2020-03-23 23:19:34,6
WV,2020-03-24 23:37:31,15
WI,2020-03-10 17:13:25,3
WI,2020-03-11 20:00:00,19
WI,2020-03-11 22:53:03,6
WI,2020-03-12 21:39:10,8
WI,2020-03-14 22:33:03,27
WI,2020-03-15 18:20:19,32
WI,2020-03-16 20:13:20,47
WI,2020-03-17 20:13:22,72
WI,2020-03-18 19:14:34,92
WI,2020-03-19 23:43:04,159
WI,2020-03-20 21:13:29,207
WI,2020-03-21 23:13:18,282
WI,2020-03-22 23:45:00,347
WI,2020-03-23 23:19:34,383
WI,2020-03-24 23:37:31,431
WY,2020-03-10 02:33:04,0
WY,2020-03-11 20:00:00,1
WY,2020-03-12 03:13:09,1
WY,2020-03-14 16:53:03,2
WY,2020-03-15 02:53:03,3
WY,2020-03-17 23:53:03,11
WY,2020-03-18 13:53:03,15
WY,2020-03-19 04:33:18,18
WY,2020-03-20 22:14:43,19
WY,2020-03-21 19:43:03,23
WY,2020-03-22 23:45:00,23
WY,2020-03-23 23:19:34,23
WY,2020-03-24 23:37:31,24
