origin_city,destination_city,average_time
"Austin, TX","Philadelphia, PA",265.11
"Austin, TX","Phoenix, AZ",48.23
"Austin, TX","Rdu Airport, NC",217.72
"Austin, TX","Saint Louis, MO",114.2
"Austin, TX","Salt Lake City, UT",119.52
"Austin, TX","San Diego, CA",60.48
"Austin, TX","San Francisco, CA",117.92
"Austin, TX","San Jose, CA",103.04
"Austin, TX","Seattle, WA",146.79
"Austin, TX","Tampa, FL",190.62
"Austin, TX","Tucson, AZ",34.23
"Austin, TX","Tulsa, OK",76.77
"Austin, TX","Washington, DC",246.92
"Avoca, PA","Atlanta, GA",141.41
"Avoca, PA","Chicago, IL",76.87
"Avoca, PA","Cincinnati, OH",106.67
"Avoca, PA","Detroit, MI",107.47
"Avoca, PA","New York, NY",55.5
"BWI Airport, MD","Albany, NY",65.86
"BWI Airport, MD","Albuquerque, NM",135.29
"BWI Airport, MD","Atlanta, GA",118.01
"BWI Airport, MD","Austin, TX",152.8
"BWI Airport, MD","Birmingham, AL",59.55
"BWI Airport, MD","Boston, MA",90.36
"BWI Airport, MD","Buffalo, NY",63.32
"BWI Airport, MD","Charlotte, NC",88.77
"BWI Airport, MD","Chicago, IL",69.18
"BWI Airport, MD","Cincinnati, OH",102.54
"BWI Airport, MD","Cleveland, OH",74.38
"BWI Airport, MD","Columbus, OH",73.49
"BWI Airport, MD","Dallas, TX",143.22
"BWI Airport, MD","Dayton, OH",87.07
"BWI Airport, MD","Daytona Beach, FL",123.7
"BWI Airport, MD","Denver, CO",119.83
"BWI Airport, MD","Detroit, MI",92.72
"BWI Airport, MD","Fort Lauderdale, FL",149.34
"BWI Airport, MD","Fort Myers, FL",157.66
"BWI Airport, MD","Houston, TX",146.0
"BWI Airport, MD","Indianapolis, IN",106.15
"BWI Airport, MD","Islip, NY",57.97
"BWI Airport, MD","Jackson, MS",89.76
"BWI Airport, MD","Jacksonville, FL",117.11
"BWI Airport, MD","Kansas City, MO",104.1
"BWI Airport, MD","Las Vegas, NV",135.57
"BWI Airport, MD","Little Rock, AR",89.84
"BWI Airport, MD","Los Angeles, CA",162.43
"BWI Airport, MD","Louisville, KY",100.97
"BWI Airport, MD","Manchester, NH",75.1
"BWI Airport, MD","Memphis, TN",94.14
"BWI Airport, MD","Miami, FL",156.72
"BWI Airport, MD","Milwaukee, WI",61.0
"BWI Airport, MD","Minneapolis, MN",106.57
"BWI Airport, MD","Nashville, TN",50.88
"BWI Airport, MD","New Orleans, LA",107.06
"BWI Airport, MD","New York, NY",80.69
"BWI Airport, MD","Newark, NJ",77.29
"BWI Airport, MD","Norfolk, VA",46.35
"BWI Airport, MD","Oklahoma City, OK",130.57
"BWI Airport, MD","Orlando, FL",135.8
"BWI Airport, MD","Philadelphia, PA",58.32
"BWI Airport, MD","Phoenix, AZ",149.73
"BWI Airport, MD","Pittsburgh, PA",56.78
"BWI Airport, MD","Portland, ME",82.7
"BWI Airport, MD","Providence, RI",66.87
